l1,l2,word1,word2,delimiter,metrics
Govor Lužnice,Govor Kuča,krv,krv,0.1,0.0
Govor Lužnice,Govor Kuča,kos,kos,0.1,0.0
Govor Lužnice,Govor Kuča,koska,kos,0.1,0.4
Govor Lužnice,Govor Kuča,koʧina,kos,0.1,0.6666666666666666
Govor Lužnice,Govor Kuča,koʃʧina,kos,0.1,0.7142857142857143
Govor Lužnice,Govor Kuča,grudi,grudi,0.1,0.0
Govor Lužnice,Govor Kuča,grudi,ɲedra,0.1,1.0
Govor Lužnice,Govor Kuča,grudi,prsi,0.1,0.6
Govor Lužnice,Govor Kuča,grudi,sisa,0.1,1.0
Govor Lužnice,Govor Kuča,pazuka,grudi,0.1,0.8333333333333334
Govor Lužnice,Govor Kuča,pazuka,ɲedra,0.1,0.8333333333333334
Govor Lužnice,Govor Kuča,pazuka,prsi,0.1,0.8333333333333334
Govor Lužnice,Govor Kuča,pazuka,sisa,0.1,0.8333333333333334
Govor Lužnice,Govor Kuča,siska,grudi,0.1,1.0
Govor Lužnice,Govor Kuča,siska,ɲedra,0.1,0.8
Govor Lužnice,Govor Kuča,siska,prsi,0.1,0.8
Govor Lužnice,Govor Kuča,siska,sisa,0.1,0.2
Govor Lužnice,Govor Kuča,dojde,doj,0.1,0.4
Govor Lužnice,Govor Kuča,dojde,dodit,0.1,0.6
Govor Lužnice,Govor Kuča,doodi,doj,0.1,0.6
Govor Lužnice,Govor Kuča,doodi,dodit,0.1,0.4
Govor Lužnice,Govor Kuča,umira,umirat,0.1,0.16666666666666666
Govor Lužnice,Govor Kuča,umira,umrijet,0.1,0.5714285714285714
Govor Lužnice,Govor Kuča,umre,umirat,0.1,0.5
Govor Lužnice,Govor Kuča,umre,umrijet,0.1,0.42857142857142855
Govor Lužnice,Govor Kuča,kuʧe,kuʧak,0.1,0.4
Govor Lužnice,Govor Kuča,kuʧe,pas,0.1,1.0
Govor Lužnice,Govor Kuča,pseto,kuʧak,0.1,1.0
Govor Lužnice,Govor Kuča,pseto,pas,0.1,0.8
Govor Lužnice,Govor Kuča,pʦeto,kuʧak,0.1,1.0
Govor Lužnice,Govor Kuča,pʦeto,pas,0.1,0.8
Govor Lužnice,Govor Kuča,pije,pit,0.1,0.5
Govor Lužnice,Govor Kuča,pije,popit,0.1,0.8
Govor Lužnice,Govor Kuča,popije,pit,0.1,0.6666666666666666
Govor Lužnice,Govor Kuča,popije,popit,0.1,0.3333333333333333
Govor Lužnice,Govor Kuča,uo,uvo,0.1,0.3333333333333333
Govor Lužnice,Govor Kuča,uo,uho,0.1,0.3333333333333333
Govor Lužnice,Govor Kuča,oko,oko,0.1,0.0
Govor Lužnice,Govor Kuča,ogaɲ,ogaɲ,0.1,0.0
Govor Lužnice,Govor Kuča,ogaɲ,vatra,0.1,1.0
Govor Lužnice,Govor Kuča,riba,riba,0.1,0.0
Govor Lužnice,Govor Kuča,pun,pun,0.1,0.0
Govor Lužnice,Govor Kuča,ruka,ruka,0.1,0.0
Govor Lužnice,Govor Kuča,ʧuje,ʧunut,0.1,0.6
Govor Lužnice,Govor Kuča,ʧuje,ʧut,0.1,0.5
Govor Lužnice,Govor Kuča,rog,rog,0.1,0.0
Govor Lužnice,Govor Kuča,ja,ja,0.1,0.0
Govor Lužnice,Govor Kuča,koleno,koleno,0.1,0.0
Govor Lužnice,Govor Kuča,ʤigeriʦa,utrobiʦa,0.1,0.625
Govor Lužnice,Govor Kuča,ʤigeriʦa,ʦrnа utrobiʦa,0.1,0.6923076923076923
Govor Lužnice,Govor Kuča,ʤiʥeriʦa,utrobiʦa,0.1,0.625
Govor Lužnice,Govor Kuča,ʤiʥeriʦa,ʦrnа utrobiʦa,0.1,0.6923076923076923
Govor Lužnice,Govor Kuča,ʥiʤeriʦa,utrobiʦa,0.1,0.625
Govor Lužnice,Govor Kuča,ʥiʤeriʦa,ʦrnа utrobiʦa,0.1,0.6923076923076923
Govor Lužnice,Govor Kuča,drob,utrobiʦa,0.1,0.625
Govor Lužnice,Govor Kuča,drob,ʦrnа utrobiʦa,0.1,0.7692307692307693
Govor Lužnice,Govor Kuča,ʦrni drob,utrobiʦa,0.1,1.0
Govor Lužnice,Govor Kuča,ʦrni drob,ʦrnа utrobiʦa,0.1,0.46153846153846156
Govor Lužnice,Govor Kuča,gora,planina,0.1,0.8571428571428571
Govor Lužnice,Govor Kuča,planina,planina,0.1,0.0
Govor Lužnice,Govor Kuča,ime,ime,0.1,0.0
Govor Lužnice,Govor Kuča,nov,nov,0.1,0.0
Govor Lužnice,Govor Kuča,noʧ,noj,0.1,0.3333333333333333
Govor Lužnice,Govor Kuča,nos,nos,0.1,0.0
Govor Lužnice,Govor Kuča,jedən,jedan,0.1,0.2
Govor Lužnice,Govor Kuča,put,put,0.1,0.0
Govor Lužnice,Govor Kuča,ʧovek,ʧek,0.1,0.4
Govor Lužnice,Govor Kuča,ʧovek,ʧoek,0.1,0.2
Govor Lužnice,Govor Kuča,vidi,viʥet,0.1,0.6
Govor Lužnice,Govor Kuča,koʒa,ʧapra,0.1,0.8
Govor Lužnice,Govor Kuča,koʒa,koʒa,0.1,0.0
Govor Lužnice,Govor Kuča,zvezda,zvijezda,0.1,0.25
Govor Lužnice,Govor Kuča,kamik,kami,0.1,0.2
Govor Lužnice,Govor Kuča,kamik,krʃ,0.1,0.8
Govor Lužnice,Govor Kuča,slnʦe,sunʦe,0.1,0.2
Govor Lužnice,Govor Kuča,jezik,jezik,0.1,0.0
Govor Lužnice,Govor Kuča,zub,zub,0.1,0.0
Govor Lužnice,Govor Kuča,drvo,drijevo,0.1,0.42857142857142855
Govor Lužnice,Govor Kuča,drvo,drvo,0.1,0.0
Govor Lužnice,Govor Kuča,dva,dva,0.1,0.0
Govor Lužnice,Govor Kuča,voda,voda,0.1,0.0
Govor Lužnice,Govor Kuča,mi,mi,0.1,0.0
Govor Lužnice,Govor Kuča,ti,ti,0.1,0.0
Govor Lužnice,Govor severne Metohije,krv,krv,0.1,0.0
Govor Lužnice,Govor severne Metohije,kos,kos,0.1,0.0
Govor Lužnice,Govor severne Metohije,koska,kos,0.1,0.4
Govor Lužnice,Govor severne Metohije,koʧina,kos,0.1,0.6666666666666666
Govor Lužnice,Govor severne Metohije,koʃʧina,kos,0.1,0.7142857142857143
Govor Lužnice,Govor severne Metohije,grudi,grudi,0.1,0.0
Govor Lužnice,Govor severne Metohije,grudi,ʥuks,0.1,0.8
Govor Lužnice,Govor severne Metohije,grudi,prsi,0.1,0.6
Govor Lužnice,Govor severne Metohije,grudi,sisa,0.1,1.0
Govor Lužnice,Govor severne Metohije,pazuka,grudi,0.1,0.8333333333333334
Govor Lužnice,Govor severne Metohije,pazuka,ʥuks,0.1,0.6666666666666666
Govor Lužnice,Govor severne Metohije,pazuka,prsi,0.1,0.8333333333333334
Govor Lužnice,Govor severne Metohije,pazuka,sisa,0.1,0.8333333333333334
Govor Lužnice,Govor severne Metohije,siska,grudi,0.1,1.0
Govor Lužnice,Govor severne Metohije,siska,ʥuks,0.1,0.8
Govor Lužnice,Govor severne Metohije,siska,prsi,0.1,0.8
Govor Lužnice,Govor severne Metohije,siska,sisa,0.1,0.2
Govor Lužnice,Govor severne Metohije,dojde,doʨ,0.1,0.6
Govor Lužnice,Govor severne Metohije,dojde,doj,0.1,0.4
Govor Lužnice,Govor severne Metohije,dojde,dojti,0.1,0.4
Govor Lužnice,Govor severne Metohije,dojde,dolazit,0.1,0.7142857142857143
Govor Lužnice,Govor severne Metohije,doodi,doʨ,0.1,0.6
Govor Lužnice,Govor severne Metohije,doodi,doj,0.1,0.6
Govor Lužnice,Govor severne Metohije,doodi,dojti,0.1,0.4
Govor Lužnice,Govor severne Metohije,doodi,dolazit,0.1,0.5714285714285714
Govor Lužnice,Govor severne Metohije,umira,umret,0.1,0.6
Govor Lužnice,Govor severne Metohije,umre,umret,0.1,0.2
Govor Lužnice,Govor severne Metohije,kuʧe,ker,0.1,0.75
Govor Lužnice,Govor severne Metohije,kuʧe,pas,0.1,1.0
Govor Lužnice,Govor severne Metohije,pseto,ker,0.1,0.8
Govor Lužnice,Govor severne Metohije,pseto,pas,0.1,0.8
Govor Lužnice,Govor severne Metohije,pʦeto,ker,0.1,0.8
Govor Lužnice,Govor severne Metohije,pʦeto,pas,0.1,0.8
Govor Lužnice,Govor severne Metohije,pije,pit,0.1,0.5
Govor Lužnice,Govor severne Metohije,pije,popit,0.1,0.8
Govor Lužnice,Govor severne Metohije,popije,pit,0.1,0.6666666666666666
Govor Lužnice,Govor severne Metohije,popije,popit,0.1,0.3333333333333333
Govor Lužnice,Govor severne Metohije,uo,uvo,0.1,0.3333333333333333
Govor Lužnice,Govor severne Metohije,oko,oko,0.1,0.0
Govor Lužnice,Govor severne Metohije,ogaɲ,vatra,0.1,1.0
Govor Lužnice,Govor severne Metohije,ogaɲ,ogaɲ,0.1,0.0
Govor Lužnice,Govor severne Metohije,riba,riba,0.1,0.0
Govor Lužnice,Govor severne Metohije,pun,pun,0.1,0.0
Govor Lužnice,Govor severne Metohije,ruka,ruka,0.1,0.0
Govor Lužnice,Govor severne Metohije,ʧuje,ʧut,0.1,0.5
Govor Lužnice,Govor severne Metohije,rog,rog,0.1,0.0
Govor Lužnice,Govor severne Metohije,ja,ja,0.1,0.0
Govor Lužnice,Govor severne Metohije,koleno,koleno,0.1,0.0
Govor Lužnice,Govor severne Metohije,ʤigeriʦa,ʤigeriʦa,0.1,0.0
Govor Lužnice,Govor severne Metohije,ʤiʥeriʦa,ʤigeriʦa,0.1,0.125
Govor Lužnice,Govor severne Metohije,ʥiʤeriʦa,ʤigeriʦa,0.1,0.25
Govor Lužnice,Govor severne Metohije,drob,ʤigeriʦa,0.1,0.875
Govor Lužnice,Govor severne Metohije,ʦrni drob,ʤigeriʦa,0.1,0.8888888888888888
Govor Lužnice,Govor severne Metohije,gora,planina,0.1,0.8571428571428571
Govor Lužnice,Govor severne Metohije,planina,planina,0.1,0.0
Govor Lužnice,Govor severne Metohije,ime,ime,0.1,0.0
Govor Lužnice,Govor severne Metohije,nov,nov,0.1,0.0
Govor Lužnice,Govor severne Metohije,noʧ,noj,0.1,0.3333333333333333
Govor Lužnice,Govor severne Metohije,noʧ,noʨ ,0.1,0.5
Govor Lužnice,Govor severne Metohije,nos,nos,0.1,0.0
Govor Lužnice,Govor severne Metohije,jedən,jedan,0.1,0.2
Govor Lužnice,Govor severne Metohije,put,put,0.1,0.0
Govor Lužnice,Govor severne Metohije,ʧovek,ʧovek,0.1,0.0
Govor Lužnice,Govor severne Metohije,vidi,videt,0.1,0.4
Govor Lužnice,Govor severne Metohije,koʒa,ʧapra,0.1,0.8
Govor Lužnice,Govor severne Metohije,koʒa,koʒa ,0.1,0.2
Govor Lužnice,Govor severne Metohije,zvezda,zvezda,0.1,0.0
Govor Lužnice,Govor severne Metohije,kamik,kamen,0.1,0.4
Govor Lužnice,Govor severne Metohije,slnʦe,sunʦe,0.1,0.2
Govor Lužnice,Govor severne Metohije,jezik,jezik,0.1,0.0
Govor Lužnice,Govor severne Metohije,zub,zub,0.1,0.0
Govor Lužnice,Govor severne Metohije,drvo,drvo,0.1,0.0
Govor Lužnice,Govor severne Metohije,dva,dva,0.1,0.0
Govor Lužnice,Govor severne Metohije,voda,vada,0.1,0.25
Govor Lužnice,Govor severne Metohije,voda,voda,0.1,0.0
Govor Lužnice,Govor severne Metohije,mi,mi,0.1,0.0
Govor Lužnice,Govor severne Metohije,ti,ti,0.1,0.0
Govor Lužnice,Govor Hvara,krv,kor,0.1,0.6666666666666666
Govor Lužnice,Govor Hvara,krv,korv,0.1,0.25
Govor Lužnice,Govor Hvara,kos,kost,0.1,0.25
Govor Lužnice,Govor Hvara,koska,kost,0.1,0.4
Govor Lužnice,Govor Hvara,koʧina,kost,0.1,0.6666666666666666
Govor Lužnice,Govor Hvara,koʃʧina,kost,0.1,0.7142857142857143
Govor Lužnice,Govor Hvara,grudi,nidra,0.1,1.0
Govor Lužnice,Govor Hvara,grudi,parsi,0.1,0.8
Govor Lužnice,Govor Hvara,grudi,sisa,0.1,1.0
Govor Lužnice,Govor Hvara,pazuka,nidra,0.1,0.8333333333333334
Govor Lužnice,Govor Hvara,pazuka,parsi,0.1,0.6666666666666666
Govor Lužnice,Govor Hvara,pazuka,sisa,0.1,0.8333333333333334
Govor Lužnice,Govor Hvara,siska,nidra,0.1,0.6
Govor Lužnice,Govor Hvara,siska,parsi,0.1,1.0
Govor Lužnice,Govor Hvara,siska,sisa,0.1,0.2
Govor Lužnice,Govor Hvara,dojde,arivat,0.1,1.0
Govor Lužnice,Govor Hvara,dojde,arivovat,0.1,0.875
Govor Lužnice,Govor Hvara,dojde,doʨ,0.1,0.6
Govor Lužnice,Govor Hvara,doodi,arivat,0.1,1.0
Govor Lužnice,Govor Hvara,doodi,arivovat,0.1,0.875
Govor Lužnice,Govor Hvara,doodi,doʨ,0.1,0.6
Govor Lužnice,Govor Hvara,umira,partivat,0.1,0.75
Govor Lužnice,Govor Hvara,umira,portit,0.1,1.0
Govor Lužnice,Govor Hvara,umira,umirot,0.1,0.3333333333333333
Govor Lužnice,Govor Hvara,umira,umrit,0.1,0.6
Govor Lužnice,Govor Hvara,umre,partivat,0.1,0.875
Govor Lužnice,Govor Hvara,umre,portit,0.1,0.8333333333333334
Govor Lužnice,Govor Hvara,umre,umirot,0.1,0.5
Govor Lužnice,Govor Hvara,umre,umrit,0.1,0.4
Govor Lužnice,Govor Hvara,kuʧe,kuʦak,0.1,0.6
Govor Lužnice,Govor Hvara,kuʧe,pas,0.1,1.0
Govor Lužnice,Govor Hvara,kuʧe,psetina,0.1,1.0
Govor Lužnice,Govor Hvara,kuʧe,pasiʨ,0.1,1.0
Govor Lužnice,Govor Hvara,pseto,kuʦak,0.1,1.0
Govor Lužnice,Govor Hvara,pseto,pas,0.1,0.8
Govor Lužnice,Govor Hvara,pseto,psetina,0.1,0.42857142857142855
Govor Lužnice,Govor Hvara,pseto,pasiʨ,0.1,0.8
Govor Lužnice,Govor Hvara,pʦeto,kuʦak,0.1,1.0
Govor Lužnice,Govor Hvara,pʦeto,pas,0.1,0.8
Govor Lužnice,Govor Hvara,pʦeto,psetina,0.1,0.5714285714285714
Govor Lužnice,Govor Hvara,pʦeto,pasiʨ,0.1,0.8
Govor Lužnice,Govor Hvara,pije,pit,0.1,0.5
Govor Lužnice,Govor Hvara,pije,popit,0.1,0.8
Govor Lužnice,Govor Hvara,popije,pit,0.1,0.6666666666666666
Govor Lužnice,Govor Hvara,popije,popit,0.1,0.3333333333333333
Govor Lužnice,Govor Hvara,uo,uho,0.1,0.3333333333333333
Govor Lužnice,Govor Hvara,oko,oko,0.1,0.0
Govor Lužnice,Govor Hvara,ogaɲ,ogaɲ,0.1,0.0
Govor Lužnice,Govor Hvara,ogaɲ,ogoɲ,0.1,0.25
Govor Lužnice,Govor Hvara,riba,riba,0.1,0.0
Govor Lužnice,Govor Hvara,pun,pun,0.1,0.0
Govor Lužnice,Govor Hvara,ruka,ruka,0.1,0.0
Govor Lužnice,Govor Hvara,ʧuje,ʦut,0.1,0.75
Govor Lužnice,Govor Hvara,rog,rog,0.1,0.0
Govor Lužnice,Govor Hvara,ja,jo,0.1,0.5
Govor Lužnice,Govor Hvara,koleno,kolino,0.1,0.16666666666666666
Govor Lužnice,Govor Hvara,ʤigeriʦa,jotra,0.1,0.75
Govor Lužnice,Govor Hvara,ʤigeriʦa,ʒigeriʦa,0.1,0.125
Govor Lužnice,Govor Hvara,ʤiʥeriʦa,jotra,0.1,0.75
Govor Lužnice,Govor Hvara,ʤiʥeriʦa,ʒigeriʦa,0.1,0.25
Govor Lužnice,Govor Hvara,ʥiʤeriʦa,jotra,0.1,0.75
Govor Lužnice,Govor Hvara,ʥiʤeriʦa,ʒigeriʦa,0.1,0.25
Govor Lužnice,Govor Hvara,drob,jotra,0.1,1.0
Govor Lužnice,Govor Hvara,drob,ʒigeriʦa,0.1,0.875
Govor Lužnice,Govor Hvara,ʦrni drob,jotra,0.1,0.8888888888888888
Govor Lužnice,Govor Hvara,ʦrni drob,ʒigeriʦa,0.1,0.8888888888888888
Govor Lužnice,Govor Hvara,gora,muntaɲa,0.1,0.8571428571428571
Govor Lužnice,Govor Hvara,planina,muntaɲa,0.1,0.8571428571428571
Govor Lužnice,Govor Hvara,ime,ime,0.1,0.0
Govor Lužnice,Govor Hvara,nov,nov,0.1,0.0
Govor Lužnice,Govor Hvara,noʧ,noʨ,0.1,0.3333333333333333
Govor Lužnice,Govor Hvara,nos,nos,0.1,0.0
Govor Lužnice,Govor Hvara,jedən,jedon,0.1,0.2
Govor Lužnice,Govor Hvara,put,put,0.1,0.0
Govor Lužnice,Govor Hvara,ʧovek,ʦovik,0.1,0.4
Govor Lužnice,Govor Hvara,vidi,vidit,0.1,0.2
Govor Lužnice,Govor Hvara,koʒa,koʒa,0.1,0.0
Govor Lužnice,Govor Hvara,zvezda,zvizda,0.1,0.16666666666666666
Govor Lužnice,Govor Hvara,zvezda,stela,0.1,0.6666666666666666
Govor Lužnice,Govor Hvara,kamik,fogol,0.1,1.0
Govor Lužnice,Govor Hvara,kamik,kamik,0.1,0.0
Govor Lužnice,Govor Hvara,kamik,stina,0.1,1.0
Govor Lužnice,Govor Hvara,slnʦe,sunʦe,0.1,0.2
Govor Lužnice,Govor Hvara,jezik,jazik,0.1,0.2
Govor Lužnice,Govor Hvara,zub,zub,0.1,0.0
Govor Lužnice,Govor Hvara,drvo,darva,0.1,0.4
Govor Lužnice,Govor Hvara,drvo,drivo,0.1,0.2
Govor Lužnice,Govor Hvara,dva,dvo,0.1,0.3333333333333333
Govor Lužnice,Govor Hvara,voda,voda,0.1,0.0
Govor Lužnice,Govor Hvara,mi,mi,0.1,0.0
Govor Lužnice,Govor Hvara,ti,ti,0.1,0.0
Govor Kuča,Govor severne Metohije,krv,krv,0.1,0.0
Govor Kuča,Govor severne Metohije,kos,kos,0.1,0.0
